# Undirected graph (each unordered pair of nodes is saved once): graph.txt
# Undirected Erdos-Renyi random graph.
# Nodes: 1000 Edges: 5000
# NodeId	NodeId
0	17
0	249
0	549
0	777
0	920
1	447
1	467
1	532
1	669
1	728
1	747
1	780
1	918
1	993
2	91
2	210
2	322
2	332
2	445
2	504
2	522
2	616
2	660
2	665
2	767
3	61
3	119
3	123
3	243
3	312
3	375
3	434
3	744
3	748
3	764
3	794
3	835
3	858
3	970
3	974
3	992
4	89
4	359
4	402
4	565
4	639
4	715
4	801
4	856
5	19
5	150
5	393
5	416
5	679
5	707
5	743
5	848
5	932
5	998
6	107
6	224
6	369
6	416
6	431
6	549
6	694
6	801
6	858
6	905
7	51
7	112
7	205
7	304
7	372
7	397
7	886
7	952
7	998
8	122
8	181
8	255
8	345
8	408
8	413
8	838
8	860
8	880
9	297
9	502
9	627
9	695
9	732
9	773
9	781
9	802
10	87
10	134
10	195
10	305
10	389
10	504
10	585
10	601
10	738
10	985
11	19
11	29
11	250
11	292
11	293
11	310
11	539
11	582
11	709
11	852
11	912
11	957
12	18
12	147
12	204
12	594
12	687
12	713
12	805
12	976
13	184
13	255
13	406
13	714
13	721
13	745
13	798
13	879
14	58
14	73
14	382
14	390
14	442
14	517
14	559
14	562
14	600
14	883
14	971
15	149
15	161
15	196
15	287
15	358
15	374
15	380
15	488
15	603
15	614
15	667
15	713
15	720
15	808
16	59
16	120
16	228
16	285
16	359
16	368
16	493
16	539
16	548
16	685
16	882
16	887
16	896
16	945
16	977
17	386
17	439
18	39
18	127
18	153
18	226
18	266
18	670
18	778
19	24
19	27
19	90
19	118
19	237
19	335
19	357
19	513
19	545
19	968
20	272
20	467
20	528
20	581
20	681
20	707
20	760
21	127
21	194
21	196
21	235
21	523
21	714
22	64
22	77
22	201
22	284
22	348
22	421
22	526
22	654
22	721
23	439
23	512
23	572
24	280
24	490
24	496
24	531
24	564
24	567
24	590
24	654
24	688
24	858
24	866
24	923
24	935
24	982
25	741
25	923
25	953
25	960
25	982
26	419
26	530
26	542
26	557
26	608
26	834
26	993
27	142
27	176
27	203
27	284
27	315
27	371
27	423
27	457
27	532
27	861
28	59
28	145
28	529
28	573
28	750
28	804
29	46
29	82
29	224
29	283
29	338
29	360
29	726
29	750
29	823
